,id,color,size,width,brand_name,model_name,market_price,lenskart_price,classification,wishlistCount,purchaseCount,avgRating,totalNoOfRatings,offerName,qty,isCashbackApplicable
0,217922,Electric Green,Medium,139 mm,Lenskart Hustlr,LB E14058-W,1700,1700,non_power_reading,0,4796,0.0,,VCEYE,111,False
1,148704,Blue Sky,Medium,139 mm,Lenskart Hustlr,LB E14058-W,1700,1700,non_power_reading,7121,172539,4.6,309,LKSHARK,18831,False
2,148702,Dark Night,Medium,139 mm,Lenskart Hustlr,LB E14058-W,1700,1700,non_power_reading,7533,49635,4.6,309,VCEYE,6406,False
3,208966,Greystone,Medium,139 mm,Lenskart Hustlr,LB E14058-W,1700,1700,non_power_reading,0,26301,4.6,309,LKSHARK,6437,False
4,208962,Jade Green,Medium,139 mm,Lenskart Hustlr,LB E14058-W,1700,1700,non_power_reading,0,17587,4.6,309,LKSHARK,9870,False
5,143888,Gold,Medium,136 mm,Lenskart Blu,LB E13529,2000,2000,non_power_reading,4686,10673,4.5,210,LKBLUCE,1344,False
6,206972,Amber,Medium,139 mm,Lenskart Hustlr,LB E14058-W,1700,1700,non_power_reading,0,37360,4.7,36,LKBLUCE,7461,False
7,206692,Monza Red,Medium,139 mm,Lenskart Hustlr,LB E14058-W,1700,1700,non_power_reading,0,7271,4.7,36,LKSHARK,421,False
8,143890,Grey,Medium,136 mm,Lenskart Blu,LB E13529,2000,2000,non_power_reading,11206,18467,4.5,210,LKBLUCE,1555,False
9,215929,Dark Night,Narrow,134 mm,Lenskart Hustlr,LB E14058-N,1700,1700,non_power_reading,0,78,0.0,,LKSHARK,3786,False
10,148744,Blue,Extra Wide,142 mm,Lenskart Blu,LB E14061,1200,1200,non_power_reading,6066,15256,4.5,50,LKBLUCE,71,False
11,150068,Transparent,Extra Wide,143 mm,Lenskart Blu,LB E14271,1200,1200,non_power_reading,1055,7338,4.1,14,LKBLUCE,349,False
12,146460,Black,Wide,139 mm,Lenskart Blu,LB E13739,1200,1200,non_power_reading,8275,35877,4.5,149,LKBLUCE,77,False
13,147809,Blue,Wide,140 mm,Lenskart Blu,LB E13737,1500,1500,non_power_reading,6347,17333,4.45,122,LKBLUCE,258,False
14,151036,Black,Medium,136 mm,Lenskart Blu,LB E14453,1200,1200,non_power_reading,114,8615,4.35,42,LKBLUCE,146,False
15,151035,Green,Medium,136 mm,Lenskart Blu,LB E14453,1200,1200,non_power_reading,131,3851,4.35,42,LKBLUCE,715,False
16,150070,Green,Extra Wide,143 mm,Lenskart Blu,LB E14271,1200,1200,non_power_reading,134,1783,4.1,14,LKBLUCE,195,False
17,200279,Black,Medium,135 mm,Lenskart Blu,LB E14791,1500,1500,non_power_reading,0,6214,4.7,7,LKBLUCE,389,False
18,150158,Green,Wide,138 mm,Lenskart Blu,LB E14284,1200,1200,non_power_reading,319,3257,4.5,8,LKBLUCE,220,False
19,146527,Grey,Medium,137 mm,Lenskart Blu,LB E13738,1200,1200,non_power_reading,2207,12679,4.45,133,LKBLUCE,143,False
20,150067,Brown,Medium,136 mm,Lenskart Blu,LB E14270,1200,1200,non_power_reading,44,1774,4.55,16,LKBLUCE,237,False
21,150157,Black,Extra Wide,138 mm,Lenskart Blu,LB E14284,1200,1200,non_power_reading,330,9731,4.5,8,LKBLUCE,1069,False
22,149767,Grey,Medium,134 mm,Lenskart Blu,LB E14242,1500,1500,non_power_reading,3201,9827,4.35,38,LKBLUCE,507,False
23,149769,Brown,Medium,134 mm,Lenskart Blu,LB E14242,1500,1500,non_power_reading,666,2310,4.35,38,LKBLUCE,493,False
24,200281,Cream,Medium,135 mm,Lenskart Blu,LB E14791,1200,1200,non_power_reading,0,1260,4.7,7,LKBLUCE,665,False
25,150064,Green,Medium,136 mm,Lenskart Blu,LB E14270,1200,1200,non_power_reading,123,2883,4.55,16,LKBLUCE,210,False
26,150065,Pink,Medium,136 mm,Lenskart Blu,LB E14270,1500,1500,non_power_reading,116,4021,4.55,16,LKBLUCE,239,False
27,200361,Green,Medium,135 mm,Lenskart Blu,LB E13738,1200,1200,non_power_reading,0,3275,4.45,133,LKBLUCE,97,False
28,146526,Blue,Wide,140 mm,Lenskart Blu,LB E13737,1500,1500,non_power_reading,5607,44152,4.45,122,LKBLUCE,1660,False
29,148746,Grey,Extra Wide,142 mm,Lenskart Blu,LB E14061,1500,1500,non_power_reading,4793,19127,4.5,50,LKBLUCE,793,False
30,151506,Blue,Wide,139 mm,Lenskart Blu,LB E13740,1500,1500,non_power_reading,2083,36958,4.5,171,LKBLUCE,99,False
31,146458,Black,Wide,140 mm,Lenskart Blu,LB E13737,1500,1500,non_power_reading,9192,50932,4.45,122,LKBLUCE,2435,False
32,146529,Transparent,Wide,139 mm,Lenskart Blu,LB E13740,1200,1200,non_power_reading,6964,21381,4.5,171,LKBLUCE,596,False
33,143908,Black,Medium,136 mm,Lenskart Blu,LB E13527,1500,1500,non_power_reading,9006,57483,4.45,133,LKBLUCE,168,False
34,143912,Black,Medium,136 mm,Lenskart Blu,LB E13527,1500,1500,non_power_reading,2493,13143,4.45,133,LKBLUCE,1688,False
35,146459,Black,Medium,137 mm,Lenskart Blu,LB E13738,1500,1500,non_power_reading,8042,59312,4.45,133,LKBLUCE,297,False
36,143909,Black,Medium,136 mm,Lenskart Blu,LB E13527,1500,1500,non_power_reading,4254,43279,4.45,133,LKBLUCE,213,False
37,211900,Black,Extra Narrow,128 mm,Lenskart Blu,LB E16223,2000,2000,non_power_reading,0,218,0.0,,LKBLUCE,840,False
38,211916,Black,Medium,137 mm,Lenskart Blu,LB E16227,2000,2000,non_power_reading,0,545,0.0,,LKBLUCE,852,False
39,211912,Silver,Extra Wide,148 mm,Lenskart Blu,LB E16225,2000,2000,non_power_reading,0,518,4.0,1,LKBLUCE,283,False
40,211904,Blue,Medium,137 mm,Lenskart Blu,LB E16221,2000,2000,non_power_reading,0,628,0.0,,LKBLUCE,1017,False
41,211895,Blue,Medium,136 mm,Lenskart Blu,LB E16218,2000,2000,non_power_reading,0,410,0.0,,LKBLUCE,848,False
