id,color,size,width,brand_name,model_name,market_price,lenskart_price,classification,wishlistCount,purchaseCount,avgRating,totalNoOfRatings,offerName,qty,isCashbackApplicable
146012,Transparent,Medium,134 mm,Lenskart Air,LA E13517,1700,1700,eyeframe,2904,81982,4.7,148,VCEYE,3284,False
216521,Ocean Blue,Medium,139 mm,Lenskart Hustlr,LA E15417-W,1700,1700,eyeframe,0,7714,0.0,,LKBLUCE,197,False
217261,Crystal,Medium,139 mm,Lenskart Hustlr,LH E16985-W,1700,1700,eyeframe,0,5582,0.0,,VCEYE,1884,False
216712,Flamingo,Medium,139 mm,Lenskart Hustlr,LA E15417-W,1700,1700,eyeframe,0,3887,0.0,,VCEYE,633,False
201315,Silver Black,Medium,134 mm,Vincent Chase,VC E13634,1700,1700,eyeframe,0,10708,4.75,130,VCEYE,2280,False
147507,Transparent,Medium,136 mm,Vincent Chase,VC E13037,1700,1700,eyeframe,8886,64344,4.5,486,VCEYE,9429,False
208951,Navy,Medium,139 mm,Lenskart Hustlr,LA E15417-W,1700,1700,eyeframe,0,26146,4.6,297,VCEYE,11791,False
217202,Olive,Medium,139 mm,Lenskart Hustlr,LH E16985-W,1700,1700,eyeframe,0,3703,5.0,1,VCEYE,1088,False
215389,Green,Medium,137 mm,Vincent Chase,VC E16665,1700,1700,eyeframe,0,1527,0.0,,VCEYE,359,False
217201,Denim,Medium,139 mm,Lenskart Hustlr,LH E16985-W,1700,1700,eyeframe,0,4146,0.0,,VCEYE,662,False
217431,Electric Green,Medium,139 mm,Lenskart Hustlr,LA E15417-W,1700,1700,eyeframe,0,2553,5.0,1,VCEYE,998,False
209750,Brown,Wide,138 mm,Lenskart Air,LA E15844,1700,1700,eyeframe,0,9442,4.65,3,VCEYE,934,False
137975,Blue,Medium,135 mm,Lenskart Air,LA E13069,1700,1700,eyeframe,10980,83837,4.6,599,VCEYE,1553,False
145567,Black,Medium,135 mm,Vincent Chase,VC E13634,1700,1700,eyeframe,3205,41289,4.75,130,VCEYE,2610,False
207481,Blue Sky,Medium,139 mm,Lenskart Hustlr,LA E15417-W,1700,1700,eyeframe,0,192623,4.6,297,VCEYE,13891,False
145996,Transparent,Wide,138 mm,Lenskart Air,LA E11821,1700,1700,eyeframe,25348,128181,4.7,529,VCEYE,6866,False
208956,Greystone,Medium,139 mm,Lenskart Hustlr,LA E15417-W,1700,1700,eyeframe,0,55331,4.6,297,VCEYE,9235,False
217022,Grey,Medium,137 mm,Lenskart STUDIO,LS E15666,1700,1700,eyeframe,0,3766,0.0,,,47,False
206266,Blue,Medium,137 mm,Vincent Chase,VC E15347,1700,1700,eyeframe,0,6350,5.0,1,VCEYE,2397,False
209728,Gunmetal,Medium,134 mm,Vincent Chase,VC E15838,1700,1700,eyeframe,0,1009,0.0,,VCEYE,1567,False
206824,Amber,Medium,139 mm,Lenskart Hustlr,LA E15417-W,1700,1700,eyeframe,0,48583,4.6,297,VCEYE,913,False
211943,Blue,Medium,136 mm,Lenskart Air,LA E16240,1700,1700,eyeframe,0,1975,0.0,,VCEYE,338,False
211448,Purple,Medium,136 mm,Lenskart Air,LA E16169,1700,1700,eyeframe,0,2303,0.0,,VCEYE,832,False
211920,Blue,Medium,134 mm,Vincent Chase,VC E16233,1700,1700,eyeframe,0,1525,0.0,,VCEYE,1135,False
