,id,color,size,width,brand_name,model_name,market_price,lenskart_price,classification,wishlistCount,purchaseCount,avgRating,totalNoOfRatings,offerName,qty,isCashbackApplicable
0,146012,Transparent,Medium,134 mm,Lenskart Air,LA E13517,1700,1700,eyeframe,2904,81680,4.7,148,VCEYE,2107,False
1,216521,Ocean Blue,Medium,139 mm,Lenskart Hustlr,LA E15417-W,1700,1700,eyeframe,0,7582,0.0,,LKBLUCE,298,False
2,217261,Crystal,Medium,139 mm,Lenskart Hustlr,LH E16985-W,1700,1700,eyeframe,0,5384,0.0,,VCEYE,1910,False
3,216712,Flamingo,Medium,139 mm,Lenskart Hustlr,LA E15417-W,1700,1700,eyeframe,0,3831,0.0,,VCEYE,671,False
4,201315,Silver Black,Medium,134 mm,Vincent Chase,VC E13634,1700,1700,eyeframe,0,10547,4.75,130,VCEYE,2409,False
5,211383,Blue,Medium,135 mm,Lenskart Air,LA E16153,1700,1700,eyeframe,0,2874,0.0,,VCEYE,37,False
6,147507,Transparent,Medium,136 mm,Vincent Chase,VC E13037,1700,1700,eyeframe,8886,64255,4.5,486,VCEYE,9121,False
7,208951,Navy,Medium,139 mm,Lenskart Hustlr,LA E15417-W,1700,1700,eyeframe,0,25802,4.6,297,VCEYE,11384,False
8,217202,Olive,Medium,139 mm,Lenskart Hustlr,LH E16985-W,1700,1700,eyeframe,0,3619,5.0,1,VCEYE,1155,False
9,215389,Green,Medium,137 mm,Vincent Chase,VC E16665,1700,1700,eyeframe,0,1469,0.0,,VCEYE,384,False
10,217201,Denim,Medium,139 mm,Lenskart Hustlr,LH E16985-W,1700,1700,eyeframe,0,4043,0.0,,VCEYE,830,False
11,217431,Electric Green,Medium,139 mm,Lenskart Hustlr,LA E15417-W,1700,1700,eyeframe,0,2501,5.0,1,VCEYE,1038,False
12,209750,Brown,Wide,138 mm,Lenskart Air,LA E15844,1700,1700,eyeframe,0,9299,4.65,3,VCEYE,793,False
13,137975,Blue,Medium,135 mm,Lenskart Air,LA E13069,1700,1700,eyeframe,10980,83542,4.6,599,VCEYE,366,False
14,215771,Gunmetal,Medium,137 mm,Vincent Chase,VC E16696,1700,1700,eyeframe,0,4034,0.0,,VCEYE,5,False
15,145567,Black,Medium,135 mm,Vincent Chase,VC E13634,1700,1700,eyeframe,3205,41141,4.75,130,VCEYE,2434,False
16,207481,Blue Sky,Medium,139 mm,Lenskart Hustlr,LA E15417-W,1700,1700,eyeframe,0,192066,4.6,297,VCEYE,11434,False
17,145996,Transparent,Wide,138 mm,Lenskart Air,LA E11821,1700,1700,eyeframe,25348,127857,4.7,529,VCEYE,6854,False
18,208956,Greystone,Medium,139 mm,Lenskart Hustlr,LA E15417-W,1700,1700,eyeframe,0,55060,4.6,297,VCEYE,9389,False
19,217022,Grey,Medium,137 mm,Lenskart STUDIO,LS E15666,1700,1700,eyeframe,0,3705,0.0,,,105,False
20,206266,Blue,Medium,137 mm,Vincent Chase,VC E15347,1700,1700,eyeframe,0,6254,5.0,1,VCEYE,2484,False
21,209728,Gunmetal,Medium,134 mm,Vincent Chase,VC E15838,1700,1700,eyeframe,0,990,0.0,,VCEYE,1574,False
22,206824,Amber,Medium,139 mm,Lenskart Hustlr,LA E15417-W,1700,1700,eyeframe,0,48417,4.6,297,VCEYE,1069,False
23,211943,Blue,Medium,136 mm,Lenskart Air,LA E16240,1700,1700,eyeframe,0,1933,0.0,,VCEYE,220,False
24,211448,Purple,Medium,136 mm,Lenskart Air,LA E16169,1700,1700,eyeframe,0,2288,0.0,,VCEYE,839,False
25,211920,Blue,Medium,134 mm,Vincent Chase,VC E16233,1700,1700,eyeframe,0,1503,0.0,,VCEYE,1139,False
26,207671,Dark Night,Medium,139 mm,Lenskart Hustlr,LA E15417-W,1700,1700,eyeframe,0,55086,4.6,297,VCEYE,13721,False
27,209774,Grey,Medium,137 mm,Lenskart Air,LA E15851,3000,3000,eyeframe,0,4842,0.0,,VCEYE,66,False
28,211524,Blue,Medium,136 mm,Vincent Chase,VC E16198,1700,1700,eyeframe,0,1108,0.0,,VCEYE,741,False
