,id,color,size,width,brand_name,model_name,market_price,lenskart_price,classification,wishlistCount,purchaseCount,avgRating,totalNoOfRatings,offerName,qty,isCashbackApplicable
0,200379,Gold,Medium,138 mm,Vincent Chase Polarized,VC S11075,1500,1500,sunglasses,0,9019,4.4,191,VCSUN,2439,False
1,206743,Gold Black,Wide,142 mm,Vincent Chase,VC S15397,2000,2000,sunglasses,0,4099,0.0,,VCSUN,4069,False
2,212813,Tortoise,Wide,143 mm,Lenskart Boost,LKB S16443,2000,2000,sunglasses,0,1684,0.0,,VCSUN,55,False
3,212306,Brown,Medium,140 mm,Vincent Chase Polarized,VC S16340,2000,2000,sunglasses,0,1133,0.0,,VCSUN,609,False
4,211349,Yellow,Wide,143 mm,Vincent Chase Polarized,VC S16145,1500,1500,sunglasses,0,632,0.0,,VCSUN,781,False
5,213283,Black,Medium,139 mm,Vincent Chase Polarized,VC S16558,1500,1500,sunglasses,0,283,0.0,,VCSUN,552,False
6,131015,Silver,Medium,138 mm,Vincent Chase Polarized,VC S11075,2000,2000,sunglasses,21990,23948,4.4,191,VCSUN,867,False
7,212310,Green,Medium,140 mm,Vincent Chase Polarized,VC S16341,2000,2000,sunglasses,0,1437,0.0,,VCSUN,928,False
8,200430,Black,Wide,145 mm,Vincent Chase Polarized,VC S11110,2000,2000,sunglasses,0,4099,4.45,169,VCSUN,274,False
9,213294,Silver,Medium,139 mm,Vincent Chase Polarized,VC S16561,1500,1500,sunglasses,0,238,0.0,,VCSUN,577,False
10,213521,Blue,Extra Wide,153 mm,Lenskart Boost,LKB S16582,2000,2000,sunglasses,0,2168,5.0,1,VCSUN,148,False
11,213291,Black,Wide,141 mm,Vincent Chase Polarized,VC S16560,1500,1500,sunglasses,0,363,0.0,,VCSUN,476,False
12,212312,Brown,Medium,140 mm,Vincent Chase Polarized,VC S16342,2000,2000,sunglasses,0,969,0.0,,VCSUN,974,False
13,213215,Gold,Medium,136 mm,Vincent Chase,VC S16529,2000,2000,sunglasses,0,1279,0.0,,VCSUN,345,False
14,212303,Grey,Wide,143 mm,Vincent Chase Polarized,VC S16339,2000,2000,sunglasses,0,1470,0.0,,VCSUN,599,False
15,213248,Silver,Medium,137 mm,Vincent Chase,VC S16543,1500,1500,sunglasses,0,303,0.0,,VCSUN,1062,False
16,209321,Gold,Wide,142 mm,Vincent Chase Polarized,VC S15762,1500,1500,sunglasses,0,2254,0.0,,VCSUN,196,False
17,151055,Tortoise,Wide,142 mm,Vincent Chase,VC S14459,2000,2000,sunglasses,398,10093,4.8,11,VCSUN,1247,False
18,209309,Blue,Wide,144 mm,Vincent Chase Polarized,VC S15756,1500,1500,sunglasses,0,1554,0.0,,VCSUN,268,False
19,213244,Gold,Medium,139 mm,Vincent Chase Polarized,VC S16541,1500,1500,sunglasses,0,198,3.0,1,VCSUN,1167,False
20,206773,Brown,Medium,140 mm,Vincent Chase Polarized,VC S15407,2000,2000,sunglasses,0,5577,0.0,,VCSUN,3790,False
