Store Location,Address,Ratings,Phone,Timings
Himayat Nagar,"3-6-110/1,2,3 Shop No 1, Ground Floor, Anand Arcade, Himayath Nagar, Opposite Tata Motors, Hyderabad, Telangana, 500029", 4.9  (1115) ,+91 7065078535,Hours: 11:00 AM to 09:30 PM 
Neredmet,"H No 37 74/11/1, Plot No E-62, Survey No 218/1/3, Jj Nagar Ramakrishnapuram, Malkajgiri Municipality And Mandal Ranga Reddy, Neredmet, Hyderabad, Telangana, 500094", 4.9  (2074) ,+91 7290097285,Hours: 11:00 AM to 09:30 PM 
Vikrampuri,"Plot No 6 S, Nos 60 6162/1, New Vasavi Colony, Second Venture Kakaguda, Village Secunderabad Cantonment Area, Vikrampuri, Hyderabad, Telangana, 500015", 4.9  (900) ,+91 8929436583,Hours: 11:00 AM to 09:30 PM 
Shadnagar,"18-390-1, 2F, Viduth Colony, Pargi Road, Near Bike Bazar, Shadnagar, Telangana, 509216", 4.8  (176) ,+91 8447732561,Hours: 11:00 AM to 09:30 PM 
Kamareddy,"House 5-3-98, Old Nh7 Road, Old Nh7 Road, Opposite Muncipal Office, Kamareddy, Telangana, 503111", 4.9  (670) ,+91 8929306570,Hours: 11:00 AM to 09:00 PM 
DSL Virtue Mall,"FF 02 & 03, First Floor, DSL Virtue Mall, Ramanthapur Main Road, Ida Uppal, Near Uppal Metro Station, Hyderabad, Telangana, 500039", 4.9  (1407) ,+91 8929871420,Hours: 11:00 AM to 10:00 PM 
Beeramguda,"Plot No 8/B, H No 14-81/13/8/B/A/1, Raghavendra Colony, Beeramguda, Ramachandrapuram, Hyderabad, Telangana, 502032", 4.9  (2388) ,+91 9667226227,Hours: 11:00 AM to 09:30 PM 
"Flagship Store At Vanasthalipuram Main Road, Hyderabad","H No 5-5858/1(New), 5-5-511(Old), Plot No 27 &30, Ward No 05, Chintalknta Of Sahebnagar, Kjurd Village, Hyathnagar Mandal, Ranga Reddy District,Vanasthalipuram, Hyderabad,Telangana, 500074", 4.9  (1641) ,+91 8744052756,Hours: 11:00 AM to 09:30 PM 
Begumpet,"Property No 1/11/222/D/3, Sp Road, Begumpet, Opposite Hdfc Bank, Near Shopper Stop, Secunderabad, Telangana, 500016", 4.7  (526) ,+91 7428891117,Hours: 11:00 AM to 09:30 PM 
Champapet,"Shop No 17/1/383/N/80/31, Block No 1, Brindavan Colony Nagar, Champapet, Opposite Manda Ram Reddy Garden, Hyderabad, Telangana, 500079", 4.9  (1119) ,+91 7428891122,Hours: 11:00 AM to 09:30 PM 
Alwal Suchitra Hyderabad,"Shop No 5-77/26/31, Bhavani Nagar Old Alwal, Opposite Bhatah Petrol Bunk Ig Statue, Loyola College Road, Old Alwal, Secunderabad, Telangana, 500010", 4.8  (66) ,+91 9643812608,Hours: 11:00 AM to 09:30 PM 
LB Nagar,"Plot No 124 In Survey No 64, Ward No 3, Block No 8, Door No 3-11-22, Sri Enclave, Suvidha Arcade, Rtc Colony, Lb Nagar, Bahadurguda, Hyderabad, Telangana, 500074", 4.9  (1668) ,+91 9319372707,Hours: 11:00 AM to 09:30 PM 
Nagole Hyderabad,"Plot No 24, H No 23-39/24, Ground Floor, Sharada Plaza, Bharath Petroleum Lane, Near Nagole X Road, Nagole Circle, Uppal Mandal, Medchal Malkajgiri, Hyderabad, Telangana, 500068", 5.0  (33) ,+91 9643702844,Hours: 10:30 AM to 09:30 PM 
Kukatpally,"D#12-6-2/216, P#1 Sy#577, Ground Floor, Kukatpally, Opposite Bjp Office, Hyderabad, Telangana, 500072", 4.6  (397) ,+91 7303423424,Hours: 11:00 AM to 09:30 PM 
Serilingampally Mandal Kondapur,"Door No 4-1382, Raja Rajeswara Nagar, Kondapur Village, Serilingampally Mandal, Ranga Reddy, Kondapur, Telangana, 500084", 3.9  (16) ,+91 8929808351,Hours: 11:00 AM to 09:30 PM 
ECIL Radhika,"Victory Plaza, Plot No 11 Extension, Ecil X Main Road, Khushaiguda, Khushaiguda, Opposite Sbi Bank, Hyderabad, Telangana, 500062", 4.9  (2078) ,+91 8929261828,Hours: 11:00 AM to 09:30 PM 
"MG Road, Warangal","Shetter No 3, 11-26-226, Islamia Complex, M G Road, Opposite Mgm Hospital Gate No 1, Warangal, Telangana, 506007", 4.9  (1653) ,+91 9319368930,Hours: 11:00 AM to 09:00 PM 
Sattva Necklace Mall,"Shop No 9A, Ground Floor, Sattva Necklace Mall, Municipal No 8 To 32/395, Survey No 33 To 39/85/1, Ward No 6 Block 6 Plot No 1, Kavadiguda, Secunderabad, Telangana, 500080", 4.9  (582) ,+91 7065045220,Hours: 11:00 AM to 09:30 PM 
Malakpet,"Shop No 16/10/27/105/7/4/1, Tirumala Pride, Main Road, Malakpet, Opposite Bajaj Electronics, Hyderabad, Telangana, 500036", 4.8  (648) ,+91 7428891146,Hours: 11:00 AM to 09:30 PM 
Kalasiguda,"Shop No 1,7 & 396, Sandhu Apartment, Jain Estate, Kalasiguda, Secunderabad, Kalasiguda, Opposite Incredible One Hotel & Nanking Hotel Parklane, Hyderabad, Telangana, 500003", 4.9  (1045) ,+91 7428890087,Hours: 11:00 AM to 09:30 PM 
Adikmet,"House No 1/9/670/69, Ground Floor, Srt Quarters, Vidya Nagar, Adikmet, Near Apollo Pharmacy, Hyderabad, Telangana, 500044", 4.8  (1541) ,+91 7428891147,Hours: 11:00 AM to 09:30 PM 
Kondapur 2,"Ground Floor, D No 1-112, Kondapur S2 & S1, Chandanagar, Hyderabad, Telangana, 500084", 4.2  (132) ,+91 9582251897,Hours: 11:00 AM to 09:30 PM 
