product_id,color,size,width,brand_name,model_name,lenskart_price,classification,wishlistCount,purchaseCount,avgRating,totalNoOfRatings,qty
146012,Transparent,Medium,134 mm,Lenskart Air,LA E13517,1700,eyeframe,2904,84475,4.7,148,3863
217261,Crystal,Medium,139 mm,Lenskart Hustlr,LH E16985-W,1700,eyeframe,0,7242,0.0,,2251
216712,Flamingo,Medium,139 mm,Lenskart Hustlr,LA E15417-W,1700,eyeframe,0,4309,4.0,1,665
201315,Silver Black,Medium,134 mm,Vincent Chase,VC E13634,1700,eyeframe,0,11832,4.75,134,1246
147507,Transparent,Medium,136 mm,Vincent Chase,VC E13037,1700,eyeframe,8886,65373,4.5,487,8646
208951,Navy,Medium,139 mm,Lenskart Hustlr,LA E15417-W,1700,eyeframe,0,28595,4.6,311,9330
217202,Olive,Medium,139 mm,Lenskart Hustlr,LH E16985-W,1700,eyeframe,0,4414,5.0,1,744
217201,Denim,Medium,139 mm,Lenskart Hustlr,LH E16985-W,1700,eyeframe,0,5033,0.0,,122
217431,Electric Green,Medium,139 mm,Lenskart Hustlr,LA E15417-W,1700,eyeframe,0,2874,5.0,1,730
209750,Brown,Wide,138 mm,Lenskart Air,LA E15844,1700,eyeframe,0,10526,4.65,3,414
137975,Blue,Medium,135 mm,Lenskart Air,LA E13069,1700,eyeframe,10980,86022,4.6,602,1837
145567,Black,Medium,135 mm,Vincent Chase,VC E13634,1700,eyeframe,3205,42405,4.75,134,2919
207481,Blue Sky,Medium,139 mm,Lenskart Hustlr,LA E15417-W,1700,eyeframe,0,196710,4.6,311,10653
145996,Transparent,Wide,138 mm,Lenskart Air,LA E11821,1700,eyeframe,25348,129641,4.7,529,7313
208956,Greystone,Medium,139 mm,Lenskart Hustlr,LA E15417-W,1700,eyeframe,0,57572,4.6,311,9759
217022,Grey,Medium,137 mm,Lenskart STUDIO,LS E15666,1700,eyeframe,0,4215,0.0,,2002
206266,Blue,Medium,137 mm,Vincent Chase,VC E15347,1700,eyeframe,0,7024,5.0,1,3435
209728,Gunmetal,Medium,134 mm,Vincent Chase,VC E15838,1700,eyeframe,0,1155,0.0,,1254
206824,Amber,Medium,139 mm,Lenskart Hustlr,LA E15417-W,1700,eyeframe,0,49757,4.6,311,217
211448,Purple,Medium,136 mm,Lenskart Air,LA E16169,1700,eyeframe,0,2395,0.0,,773
211920,Blue,Medium,134 mm,Vincent Chase,VC E16233,1700,eyeframe,0,1877,0.0,,776
207671,Dark Night,Medium,139 mm,Lenskart Hustlr,LA E15417-W,1700,eyeframe,0,59680,4.6,311,10704
211524,Blue,Medium,136 mm,Vincent Chase,VC E16198,1700,eyeframe,0,1352,0.0,,695
206828,Monza Red,Medium,139 mm,Lenskart Hustlr,LA E15417-W,1700,eyeframe,0,15181,4.6,311,92
