id,color,size,width,brand_name,model_name,market_price,lenskart_price,classification,wishlistCount,purchaseCount,avgRating,totalNoOfRatings,offerName,qty,isCashbackApplicable
217922,Electric Green,Medium,139 mm,Lenskart Hustlr,LB E14058-W,1700,1700,non_power_reading,0,4816,0.0,,VCEYE,100,False
148704,Blue Sky,Medium,139 mm,Lenskart Hustlr,LB E14058-W,1700,1700,non_power_reading,7121,172729,4.6,309,LKSHARK,18286,False
148702,Dark Night,Medium,139 mm,Lenskart Hustlr,LB E14058-W,1700,1700,non_power_reading,7533,49766,4.6,309,VCEYE,5474,False
208966,Greystone,Medium,139 mm,Lenskart Hustlr,LB E14058-W,1700,1700,non_power_reading,0,26411,4.6,309,LKSHARK,5697,False
208962,Jade Green,Medium,139 mm,Lenskart Hustlr,LB E14058-W,1700,1700,non_power_reading,0,17666,4.6,309,LKSHARK,10037,False
143888,Gold,Medium,136 mm,Lenskart Blu,LB E13529,2000,2000,non_power_reading,4686,10691,4.5,210,LKBLUCE,590,False
206972,Amber,Medium,139 mm,Lenskart Hustlr,LB E14058-W,1700,1700,non_power_reading,0,37412,4.7,36,LKBLUCE,6665,False
206692,Monza Red,Medium,139 mm,Lenskart Hustlr,LB E14058-W,1700,1700,non_power_reading,0,7296,4.7,36,LKSHARK,401,False
143890,Grey,Medium,136 mm,Lenskart Blu,LB E13529,2000,2000,non_power_reading,11206,18526,4.5,210,LKBLUCE,1499,False
215929,Dark Night,Narrow,134 mm,Lenskart Hustlr,LB E14058-N,1700,1700,non_power_reading,0,84,0.0,,LKSHARK,3877,False
148744,Blue,Extra Wide,142 mm,Lenskart Blu,LB E14061,1200,1200,non_power_reading,6066,15289,4.5,50,LKBLUCE,44,False
146460,Black,Wide,139 mm,Lenskart Blu,LB E13739,1200,1200,non_power_reading,8275,35943,4.5,150,LKBLUCE,154,False
147809,Blue,Wide,140 mm,Lenskart Blu,LB E13737,1500,1500,non_power_reading,6347,17358,4.45,122,LKBLUCE,239,False
151036,Black,Medium,136 mm,Lenskart Blu,LB E14453,1200,1200,non_power_reading,114,8665,4.35,42,LKBLUCE,109,False
151035,Green,Medium,136 mm,Lenskart Blu,LB E14453,1200,1200,non_power_reading,131,3872,4.35,42,LKBLUCE,709,False
150070,Green,Extra Wide,143 mm,Lenskart Blu,LB E14271,1200,1200,non_power_reading,134,1785,4.1,14,LKBLUCE,195,False
200279,Black,Medium,135 mm,Lenskart Blu,LB E14791,1500,1500,non_power_reading,0,6222,4.7,7,LKBLUCE,392,False
150158,Green,Wide,138 mm,Lenskart Blu,LB E14284,1200,1200,non_power_reading,319,3271,4.5,8,LKBLUCE,219,False
