store_id,address,city,state,pincode,email,phone
512,"Shop No E5/1, Bittan Market, Arera Colony, Habib Gunj Chowk, In Front Of Habib Gunj Police Station, Bhopal, Madhya Pradesh, 462016",Bhopal,Madhya Pradesh,462016,bittanmarket.bhopal@lenskartstore.com,7553539147
768,"3-6-110/1,2,3 Shop No 1, Ground Floor, Anand Arcade, Himayath Nagar, Opposite Tata Motors, Hyderabad, Telangana, 500029",Hyderabad,Telangana,500029,himayatnagarhyderabad@john-jacobs.com,8904641734
1024,"No 06, Double Road, Nri Layout, Ramamurthy Nagar, Bengaluru, Karnataka, 560016",Bengaluru,Karnataka,560016,nrilayout.bangalore@lenskartstore.com,9148982157
1280,"178/1(149), G T Road, Opposite Disha Eye Hospital, Sheoraphuli, West Bengal, 712223",Sheoraphuli,West Bengal,712223,lenskarthooghly.westbengal@lenskartstore.com,7980979616
1536,"No 196 Mei Layout, 60Ft Main Road, Dassarahalli, Bengaluru, Karnataka, 560057",Bengaluru,Karnataka,560057,bangalore.thamenhalli@lenskartstore.com,9148982137
2304,"Plot No 125 & 126, Ground Floor, Mauza Jakhan, Kishanpur Pargana Central Doon, Rajpur Road, Dehradun, Uttrakhand, 248001",Dehradun,Uttarakhand,248001,jakhan2.dehradun@lenskartstore.com,1354149359
1,"54, Hari Ganga Basak Road, Paradise Chowmuhani, Opposite Pwd Office, Agartala, Tripura, 799001",Agartala,Tripura,799001,srinitiate.agartala@lenskart.in,7085444331
257,"Shop No 1443, First Main Road, Kengeri Satellite Town, Hoysala Circle, Bengaluru, Karnataka, 560060",Bengaluru,Karnataka,560060,kengeri.bangalore@dealskart.mobi,8029742524
513,"Shop No 2, Ground Floor, 93 Avenue Mall, Fatima Nagar, Kalubai Chowk, Pune, Maharashtra, 411022",Pune,Maharashtra,411022,avenue93.pune@lenskartstore.com,8421112231
769,"No 20, Rathana Complex, Sri Ram Nagar, Mudichur Road, Tambaram West, Mudichur, Next To More Supre Market, Chennai, Tamil Nadu, 600045",Chennai,Tamil Nadu,600045,mudichur.chennai@lenskartstore.com,4443583148
1025,"H No 37 74/11/1, Plot No E-62, Survey No 218/1/3, Jj Nagar Ramakrishnapuram, Malkajgiri Municipality And Mandal Ranga Reddy, Neredmet, Hyderabad, Telangana, 500094",Hyderabad,Telangana,500094,neredmet.hyderabad@lenskartstore.com,9036311030
1281,"Site No 1, Aditypur Colony, Tata Kandra Road, Adityapur, Jamshedpur, Jharkhand, 831013",Jamshedpur,Jharkhand,831013,adityapurroad.jamshedpur@lenskartstore.com,9142887979
1537,"Ground Floor, Khagaul Road, Anisabad, Opposite Mausam Vibhag, Patna, Bihar, 800002",Patna,Bihar,800002,khagaulroad.patna@lenskartstore.com,6124144511
1793,"Property Bearing No 14, Ground Floor, khasra No 619/10 & Old No 619/21, Situated in Extended Abadi of Lal Dora of Village Chhatarpur, Tehsil Hauz Khas, Mehrauli, New Delhi, 110074",New Delhi,Delhi,110074,Chattarpur.delhi@lenskartstore.com,8951296808
2305,"Sr No 6/1, Hirgare, Part Shop of Banking Hall, Shalini Residency, Vitthal Mandir Road, Dnydeep Colony, Hingne Budrukh, Karve Nagar, Pune, Maharashtra, 411052",Pune,Maharashtra,411052,Karveroaduniversal.pune@lenskartstore.com,8956066673
2,"Shop No G 44, Sarjan Bunglows 2, New CG Road, Chandkheda, Sarjan Complex, Ahmedabad, Gujarat, 382424",Ahmedabad,Gujarat,382424,lenskart.ahmedabad@gmail.com,7940036563
258,"Shop No 1319, 50 Feet Main Rd, Kumaraswamy Layout, Sri Lakshmi Venkateshwara Arcade, Bengaluru, Karnataka, 560078",Bengaluru,Karnataka,560078,kumarswami.banglore@lenskart.mobi,8040932248
514,"Shop No G2, Ground Floor, Peri Plaza Complex, Sardar Bagh, Near Alkapuri Society, Junagadh, Gujarat, 362001",Junagadh,Gujarat,362001,junagadh.gujrat@lenskartstore.com,9106840325
770,"No 8, Bharathiar Salai, Melapudur, Cantonment, Tiruchirapalli, Tamil Nadu, 620001",Tiruchirappalli,Tamil Nadu,620001,cantonment.trichy@lenskartstore.com,4314511250
1026,"Plot No 6 S, Nos 60 6162/1, New Vasavi Colony, Second Venture Kakaguda, Village Secunderabad Cantonment Area, Vikrampuri, Hyderabad, Telangana, 500015",Hyderabad,Telangana,500015,vikrampuri.hyderabad@lenskartstore.com,6300650438
1282,"Shop No G/13, Sangini Magnus, Rushabh Char Rasta, Rander Road, Adajan Patiya, Opposite Rushabh Tower, Surat, Gujarat, 395009",Surat,Gujarat,395009,jahangirpura.surat@lenskartstore.com,9724920492
1538,"Plot No 172, Gram Thana Chawk, Ramghar Cantt Area, Near Gandhi Chawk, Ramgarh, Jharkhand, 829122",Ramgarh,Jharkhand,829122,ramgarh02.jharkhand@lenskartstore.com,9801573722
2306,"Shop No 2, Deep Jyot, CHSL, Shimpoli Road, Rayani Gram, Borivali West, Mumbai, Maharashtra, 400092",Mumbai,Maharashtra,400092,Shimpoliborivali.mumbai@lenskartstore.com,8655611089
3,"UG6 & UG8, Empire Mall, MG Road, SDM Law College, Mangaluru, Karnataka, 575003",Mangalore,Karnataka,575003,bigopticals.mangalore@lenskart.in,9901930712
259,"Shop No 9/3, Site Number 46, Uttarahalli Main Road, Next To IDFC Bank, Bengaluru, Karnataka, 560061",Bengaluru,Karnataka,560061,uttarahalli.bangalore@dealskart.mobi,9148982138
515,"Ground Floor, Girdhar Plaza, Harmu Road, Girdhar Plaza, Ranchi, Jharkhand, 834001",Ranchi,Jharkhand,834001,Harmu.ranchi@lenskartstore.com,6514651117
1027,"Shop No 14, Aster Apartment, Nalasopara West, Near Shri Prashtha, Mumbai, Maharashtra, 401203",Mumbai,Maharashtra,401203,nalasoparawest.mumbai@lenskartstore.com,8655691085
1283,"Shop No 2, Rajpath, Rajeshpura Road, Sadshiv Peth, Rajpath, Satara, Maharashtra, 415002",Satara,Maharashtra,415002,satara488.maharashtra@lenskartstore.com,9307271557
1539,"Shop No 3 & 4, Hari Om Apt, Dhamankar Naka, Gauri Pada, Opposite Bsnl Office, Bhiwandi, Maharashtra, 421302",Bhiwandi,Maharashtra,421302,bhiwadi45.maharstra@lenskartstore.com,7381810303
1795,"Vivanata Building, CTS No 439/1A-15, Ward No 30, Subhas Nagar, Kusugal Road, Keshwapur, Hubballi, Karnataka, 580023",Hubballi,Karnataka,580023,Hubli.keshwapur@lenskartstore.com,8364063319
