id,color,size,width,brand_name,model_name,lenskart_price,classification,wishlistCount,purchaseCount,avgRating,totalNoOfRatings,qty
146012,Transparent,Medium,134 mm,Lenskart Air,LA E13517,2000,eyeframe,2904,87232,4.7,151,5486
216521,Ocean Blue,Medium,139 mm,Lenskart Hustlr,LA E15417-W,2000,eyeframe,0,8971,0.0,,1183
217261,Crystal,Medium,139 mm,Lenskart Hustlr,LH E16985-W,2000,eyeframe,0,8863,0.0,,1238
216712,Flamingo,Medium,139 mm,Lenskart Hustlr,LA E15417-W,2000,eyeframe,0,4877,4.0,1,874
201315,Silver Black,Medium,134 mm,Vincent Chase,VC E13634,2000,eyeframe,0,12960,4.75,138,53
147507,Transparent,Medium,136 mm,Vincent Chase,VC E13037,2000,eyeframe,8886,66424,4.5,489,8728
208951,Navy,Medium,139 mm,Lenskart Hustlr,LA E15417-W,2000,eyeframe,0,31094,4.6,320,5650
217202,Olive,Medium,139 mm,Lenskart Hustlr,LH E16985-W,2000,eyeframe,0,5218,5.0,3,66
217431,Electric Green,Medium,139 mm,Lenskart Hustlr,LA E15417-W,2000,eyeframe,0,3290,5.0,1,387
209750,Brown,Wide,138 mm,Lenskart Air,LA E15844,2000,eyeframe,0,11456,4.65,3,801
137975,Blue,Medium,135 mm,Lenskart Air,LA E13069,2000,eyeframe,10980,88306,4.6,602,3082
145567,Black,Medium,135 mm,Vincent Chase,VC E13634,2000,eyeframe,3205,43495,4.75,138,2158
207481,Blue Sky,Medium,139 mm,Lenskart Hustlr,LA E15417-W,2000,eyeframe,0,200871,4.6,320,10679
145996,Transparent,Wide,138 mm,Lenskart Air,LA E11821,2000,eyeframe,25348,131154,4.7,531,7004
208956,Greystone,Medium,139 mm,Lenskart Hustlr,LA E15417-W,2000,eyeframe,0,59613,4.6,320,10474
217022,Grey,Medium,137 mm,Lenskart STUDIO,LS E15666,2000,eyeframe,0,4784,0.0,,2306
206266,Blue,Medium,137 mm,Vincent Chase,VC E15347,2000,eyeframe,0,7726,5.0,1,2839
201288,Green,Medium,136 mm,Lenskart Air,LA E14963,2000,eyeframe,0,16703,4.5,39,10
209728,Gunmetal,Medium,134 mm,Vincent Chase,VC E15838,2000,eyeframe,0,1339,0.0,,1127
206824,Amber,Medium,139 mm,Lenskart Hustlr,LA E15417-W,2000,eyeframe,0,50799,4.6,320,821
205373,Gunmetal,Medium,136 mm,Vincent Chase,VC E15176,2000,eyeframe,0,4460,0.0,,8
211448,Purple,Medium,136 mm,Lenskart Air,LA E16169,2000,eyeframe,0,2465,0.0,,741
211920,Blue,Medium,134 mm,Vincent Chase,VC E16233,2000,eyeframe,0,2126,0.0,,559
207671,Dark Night,Medium,139 mm,Lenskart Hustlr,LA E15417-W,2000,eyeframe,0,63715,4.6,320,4654
210157,Green,Medium,132 mm,Lenskart Air,LA E14961,2000,eyeframe,0,3003,0.0,,85
211524,Blue,Medium,136 mm,Vincent Chase,VC E16198,2000,eyeframe,0,1517,0.0,,566
206734,Blue,Medium,134 mm,Lenskart Air,LA E15395,2000,eyeframe,0,7220,4.0,1,4
206036,Transparent Blue,Medium,134 mm,Lenskart Air,LA E15303,2000,eyeframe,0,6411,4.75,4,561
201332,Grey,Medium,134 mm,Lenskart Air,LA E13068,2000,eyeframe,0,14300,4.65,173,114
150599,Grey,Medium,135 mm,Lenskart Air,LA E14368,2000,eyeframe,3337,32767,4.7,68,2996
146615,Purple,Medium,135 mm,Vincent Chase,VC E13784,2000,eyeframe,14578,70090,4.6,261,1792
146617,Gold,Medium,134 mm,Vincent Chase,VC E13785,2000,eyeframe,11799,60749,4.75,179,2324
151702,Grey,Medium,137 mm,Lenskart Air,LA E14572,2000,eyeframe,0,30965,4.75,39,1437
150573,Grey,Medium,136 mm,Lenskart Air,LA E14360,2000,eyeframe,4822,74216,4.85,102,5325
216009,Gold,Medium,136 mm,Vincent Chase,VC S16767,2000,sunglasses,0,1,0.0,,194
215895,Pink,Medium,135 mm,Lenskart Air,LA E16719,2000,eyeframe,0,552,0.0,,1018
136174,Transparent,Medium,135 mm,John Jacobs,JJ E10235,3500,eyeframe,16093,103782,4.45,266,3267
201618,Brown,Narrow,132 mm,Vincent Chase,VC E14973,2000,eyeframe,0,41079,4.8,15,1495
151049,Black,Wide,142 mm,Vincent Chase,VC S14457,2000,sunglasses,477,43257,4.85,14,2131
150581,Grey,Wide,140 mm,Lenskart Air,LA E14362,2000,eyeframe,2027,74856,4.75,69,7060
206049,Transparent,Wide,139 mm,Lenskart Air,LA E15308,2000,eyeframe,0,22839,4.8,12,4464
216979,Black,Extra Narrow,127 mm,Vincent Chase,VC S16928,2000,sunglasses,0,0,0.0,,1126
217075,Grey,Narrow,132 mm,Lenskart Air,LA E16939,2000,eyeframe,0,246,0.0,,2514
138262,Black,Extra Wide,142 mm,John Jacobs,JJ S13088,6000,sunglasses,862,8761,4.85,9,464
137935,Brown,Medium,136 mm,Vincent Chase,VC E13029,2000,eyeframe,2799,71222,4.75,133,879
150413,Pink,Medium,136 mm,Vincent Chase,VC E14324,2000,eyeframe,384,32894,4.2,47,1314
137971,Black,Medium,134 mm,Lenskart Air,LA E13068,2000,eyeframe,20552,86357,4.65,173,2080
151705,Grey,Medium,136 mm,Lenskart Air,LA E14573,2000,eyeframe,0,42615,4.7,67,4291
215946,Silver,Medium,138 mm,Vincent Chase,VC S16732,2000,sunglasses,0,127,0.0,,972
215894,Green,Medium,137 mm,Lenskart Air,LA E16718,2000,eyeframe,0,132,0.0,,907
150857,Pink,Medium,132 mm,John Jacobs,JJ E14409,3500,eyeframe,0,29665,4.6,13,3173
146620,Silver,Narrow,132 mm,Vincent Chase,VC E13786,2000,eyeframe,6800,110201,4.8,275,17069
148157,Grey,Narrow,133 mm,Vincent Chase,VC S13984,2000,sunglasses,2609,33993,4.75,28,984
150583,Black,Wide,140 mm,Lenskart Air,LA E14362,2000,eyeframe,970,57817,4.75,69,820
150562,Black,Wide,140 mm,Lenskart Air,LA E12489,2000,eyeframe,2014,40222,4.6,105,4376
216039,Black,Wide,144 mm,Vincent Chase,VC S16779,2000,sunglasses,0,8,0.0,,1526
217082,Green,Narrow,132 mm,Lenskart Air,LA E16942,2000,eyeframe,0,221,0.0,,2102
201389,Black,Medium,137 mm,John Jacobs,JJ E11540,5000,eyeframe,0,24817,4.4,190,4323
146618,Gunmetal,Medium,134 mm,Vincent Chase,VC E13785,2000,eyeframe,5965,72308,4.75,179,8913
137974,Black,Medium,135 mm,Lenskart Air,LA E13069,2000,eyeframe,22506,107806,4.6,602,7713
204186,Transparent,Medium,137 mm,Lenskart Air,LA E15019,2000,eyeframe,0,42848,4.7,44,2634
216011,Gold,Medium,136 mm,Vincent Chase,VC S16769,2000,sunglasses,0,1,0.0,,295
217079,Black,Medium,135 mm,Lenskart Air,LA E16941,2000,eyeframe,0,541,0.0,,2742
150861,Pink,Medium,134 mm,John Jacobs,JJ E14410,3500,eyeframe,0,14383,4.6,26,1071
146623,Gold,Narrow,132 mm,Vincent Chase,VC E13788,2000,eyeframe,5489,67858,4.75,108,3047
210271,Pink,Extra Narrow,136 mm,Vincent Chase,VC E13447,2000,eyeframe,0,17700,4.0,1,21284
201272,Grey,Extra Wide,143 mm,Lenskart Air,LA E14958,2000,eyeframe,0,31989,4.85,23,5122
146850,Transparent,Wide,140 mm,Lenskart Air,LA E12709,2000,eyeframe,12349,83572,4.75,97,5538
217855,Blue,Wide,139 mm,Vincent Chase,VC E17088,2000,eyeframe,0,45,0.0,,868
217078,Blue,Medium,134 mm,Lenskart Air,LA E16940,2000,eyeframe,0,319,0.0,,2263
140632,Grey Transparent,Wide,139 mm,John Jacobs,JJ S13313,5000,sunglasses,2119,24666,4.85,20,2263
142834,Gunmetal,Medium,134 mm,Vincent Chase,VC E11891,2000,eyeframe,2827,58683,4.5,243,4689
201612,Brown,Medium,137 mm,Vincent Chase,VC E14971,2000,eyeframe,0,13031,4.7,18,1498
136712,Black,Medium,134 mm,Lenskart Air,LA E12852,2000,eyeframe,5775,64548,4.65,226,4417
151703,Grey,Medium,136 mm,Lenskart Air,LA E14573,2000,eyeframe,0,27218,4.7,67,4796
216986,Grey,Medium,139 mm,Vincent Chase,VC S16934,2000,sunglasses,0,5,0.0,,1119
214491,Sky Blue,Medium,138 mm,Lenskart Air,LA E16616,2000,eyeframe,0,454,0.0,,943
131411,Black,Medium,135 mm,John Jacobs,JJ E11675,5000,eyeframe,9507,53072,4.7,213,4981
142996,Purple,Narrow,132 mm,Vincent Chase,VC E13393,2000,eyeframe,1820,71549,4.6,77,255
201631,Transparent,Narrow,133 mm,Vincent Chase,VC E14977,2000,eyeframe,0,35601,4.75,30,1252
146020,Blue,Extra Wide,144 mm,Lenskart Air,LA E13519,2000,eyeframe,5332,63240,4.75,177,9486
148331,Grey Transparent,Wide,139 mm,Lenskart Air,LA E14017,2000,eyeframe,1690,37283,4.7,73,5564
215939,Black,Wide,144 mm,Vincent Chase,VC S16730,2000,sunglasses,0,135,0.0,,768
214489,Grey,Medium,135 mm,Lenskart Air,LA E16615,2000,eyeframe,0,694,0.0,,1599
150873,Black,Wide,140 mm,John Jacobs,JJ E14414,3500,eyeframe,0,31711,4.75,20,2985
146616,Black,Medium,135 mm,Vincent Chase,VC E13784,2000,eyeframe,22848,76203,4.6,261,3625
201615,Transparent,Medium,136 mm,Vincent Chase,VC E14972,2000,eyeframe,0,16447,4.9,15,3888
146653,Black,Medium,135 mm,Lenskart Air,LA E13776,2000,eyeframe,5779,77436,4.65,109,3170
136711,Black,Medium,134 mm,Lenskart Air,LA E12852,2000,eyeframe,6106,61009,4.65,226,3136
216983,Brown,Medium,140 mm,Vincent Chase,VC S16932,2000,sunglasses,0,1,0.0,,1117
215877,Green,Medium,134 mm,Lenskart Air,LA E16715,2000,eyeframe,0,534,0.0,,1417
135438,Gold,Medium,134 mm,John Jacobs,JJ E12610,3500,eyeframe,1683,25650,4.35,115,1158
146619,Gold,Narrow,132 mm,Vincent Chase,VC E13786,2000,eyeframe,12294,81577,4.8,275,11694
148160,Gold,Narrow,133 mm,Vincent Chase,VC S13984,2000,sunglasses,2532,31040,4.75,28,113
146023,Grey,Wide,140 mm,Lenskart Air,LA E13520,2000,eyeframe,9749,70197,4.7,296,2788
152984,Black,Extra Wide,142 mm,Lenskart Air,LA E14736,2000,eyeframe,0,34089,4.65,15,834
215947,Black,Wide,142 mm,Vincent Chase,VC S16733,2000,sunglasses,0,140,0.0,,567
215879,Black,Narrow,133 mm,Lenskart Air,LA E16716,2000,eyeframe,0,543,0.0,,1034
138264,Black,Wide,139 mm,John Jacobs,JJ S13089,6000,sunglasses,404,9689,4.5,2,271
201622,Grey,Extra Narrow,128 mm,Vincent Chase,VC E14974,2000,eyeframe,0,26540,4.65,18,5472
149313,Blue,Wide,140 mm,Vincent Chase,VC E11797-L,2000,eyeframe,1166,42332,4.55,32,14
149022,Pink,Wide,138 mm,Lenskart Air,LA E14101,2000,eyeframe,1740,24957,4.7,38,4804
149021,Black,Wide,138 mm,Lenskart Air,LA E14101,2000,eyeframe,2283,37673,4.7,38,2290
215998,Blue,Narrow,135 mm,Vincent Chase,VC S16761,2000,sunglasses,0,3,0.0,,493
215898,Transparent,Extra Wide,142 mm,Lenskart Air,LA E16720,2000,eyeframe,0,78,0.0,,1620
140628,Black,Extra Wide,142 mm,John Jacobs,JJ S13311,5000,sunglasses,2746,29247,4.5,15,262
149080,Black,Extra Narrow,129 mm,Vincent Chase,VC E14113,2000,eyeframe,2969,39928,4.55,35,2012
134826,Silver,Wide,138 mm,Vincent Chase,VC E12422,2000,eyeframe,27771,92014,4.65,551,5225
200552,Transparent,Extra Wide,142 mm,Lenskart Air,LA E14832,2000,eyeframe,0,38658,4.55,64,1180
146021,Grey,Extra Wide,144 mm,Lenskart Air,LA E13519,2000,eyeframe,4903,54604,4.75,177,5474
216004,Gold,Narrow,134 mm,Vincent Chase,VC S16765,2000,sunglasses,0,3,0.0,,686
215903,Green,Extra Wide,142 mm,Lenskart Air,LA E16722,2000,eyeframe,0,476,0.0,,1268
121600,Gunmetal,Extra Narrow,128 mm,John Jacobs,JJ E10640,5000,eyeframe,2904,36944,4.15,66,2904
134745,Black,Wide,138 mm,Vincent Chase,VC E12395,2000,eyeframe,15718,84868,4.6,214,1793
201103,Gold,Wide,139 mm,Vincent Chase,VC E14938,2000,eyeframe,0,30494,4.6,31,985
150584,Blue,Wide,141 mm,Lenskart Air,LA E14363,2000,eyeframe,759,52544,4.7,42,797
150798,Gunmetal,Narrow,132 mm,Lenskart Air,LA E14398,3000,eyeframe,612,36951,4.55,37,1115
