Store Location,Address,Phone,Timings
Vizianagaram,"20-20-103, Plot No103, Madhuvan Towers, Krishnarajapuram, Near Spencers, Vizianagaram, Andhra Pradesh, 535002",+91 9319374906,Hours: 11:00 AM to 09:00 PM 
Ramnagar,"Shop No 10/4/16/2, Upper Ground Floor, Uplands Road, Asilmetta Junction, Ramnagar, Beside Hotel Meghalaya, Visakhapatnam, Andhra Pradesh, 530003",+91 7428890015,Hours: 11:00 AM to 09:30 PM 
Kakinada,"20-1-34, Subash Road, Opposite Super Bazar, Kakinada, Andhra Pradesh, 533001",+91 8447732252,Hours: 11:00 AM to 09:00 PM 
Eluru,"24B-1-46/1, Vijaya Vihar Centre, Vijaya Vihar Centre, Opposite Gv Mall, Eluru, Andhra Pradesh, 534002",+91 9319369743,Hours: 11:00 AM to 09:00 PM 
Shanthi Nagar,"Shop No 23/7/131, Shanthi Nagar, Mr Palli Circle, Tirupati, Andhra Pradesh, 517502",+91 7428890044,Hours: 11:00 AM to 09:00 PM 
Tadepalle Vijayawada,"Ground Floor, Mother Teresa Plaza, D No 12-455/20, NH 16 Service Road, Beside Ramachandra Furniture, Tadepalle, Kunchanapalli, Vijayawada, Andhra Pradesh, 522501",+91 9643806942,Hours: 10:30 AM to 09:30 PM 
Gajuwaka,"10-1-128/7, 60 Feet Wide Road, Mehar Nagar, Gajuwaka, Visakhapatnam, Andhra Pradesh, 530026",+91 8929176131,Hours: 11:00 AM to 09:30 PM 
Brodipet,"45029, Brodipet, Brodipet, Opposite Vajram Hotel, Guntur, Andhra Pradesh, 522002",+91 8929342562,Hours: 11:00 AM to 09:00 PM 
Nandyal Road Kurnool,"D No 87/1133, Nandyal Road, Sree Rajeswari Nagar, Sree Rajeswari Nagar, Kurnool, Andhra Pradesh, 518002",+91 9667268269,Hours: 11:00 AM to 09:00 PM 
Satyanarayanapuram,"21-3-7, Bagath Singh Road, Govt Press, Mutyalampadu Vijayawada, Satyanarayanapuram, Andhra Pradesh, 520011",+91 7065311596,Hours: 10:30 AM to 09:30 PM 
Gopalapatnam Visakhapatnam,"Ground Floor, 9-45/2,3, Narasimha Nagar, Beside Pizza Hut, Gopalapatnam, Revenue Ward 68, Visakhapatnam, Andhra Pradesh, 530027",+91 9582648641,Hours: 10:30 AM to 09:30 PM 
Guru Nanak Colony,"59A-20-2, Survey No 134/6, Extent 443.33, South Plot No 29, East Plot No 23 West, Plot No 21, Guru Nanak Colony, Vijayawada, Andhra Pradesh, 520007",+91 9540358921,Hours: 10:30 AM to 09:30 PM 
